"日期","收市","開市","高","低","成交量","更改%"
"2021年6月28日","29,048.02","29,112.66","29,121.28","28,984.93","476.82M","-0.06%"
"2021年6月25日","29,066.18","29,137.30","29,174.17","28,992.74","515.61M","0.66%"
"2021年6月24日","28,875.23","28,811.82","28,935.34","28,758.37","446.19M","0.00%"
"2021年6月23日","28,874.89","28,886.92","29,007.83","28,860.06","510.55M","-0.03%"
"2021年6月22日","28,884.13","28,513.07","28,895.26","28,494.46","677.73M","3.12%"
"2021年6月21日","28,010.93","28,506.84","28,506.84","27,795.86","758.20M","-3.29%"
"2021年6月18日","28,964.08","29,136.74","29,136.74","28,957.98","902.16M","-0.19%"
"2021年6月17日","29,018.33","29,149.34","29,197.68","28,875.39","568.70M","-0.93%"
"2021年6月16日","29,291.01","29,306.14","29,434.10","29,263.72","524.10M","-0.51%"
"2021年6月15日","29,441.30","29,256.03","29,480.85","29,235.71","530.41M","0.96%"
"2021年6月14日","29,161.80","29,153.11","29,208.35","29,026.27","450.30M","0.74%"
"2021年6月11日","28,948.73","29,030.04","29,080.89","28,839.54","710.66M","-0.03%"
"2021年6月10日","28,958.56","28,799.74","29,007.53","28,799.74","533.39M","0.34%"
"2021年6月9日","28,860.80","28,901.56","28,932.03","28,801.83","503.98M","-0.35%"
"2021年6月8日","28,963.56","29,046.03","29,140.68","28,897.64","504.18M","-0.19%"
"2021年6月7日","29,019.24","29,214.00","29,241.20","28,973.05","509.56M","0.27%"
"2021年6月4日","28,941.52","28,901.42","28,991.24","28,764.68","557.89M","-0.40%"
"2021年6月3日","29,058.11","28,890.39","29,157.16","28,879.15","585.37M","0.39%"
"2021年6月2日","28,946.14","28,730.81","29,003.55","28,565.83","710.02M","0.46%"
"2021年6月1日","28,814.34","28,998.65","29,075.47","28,611.25","473.77M","-0.16%"
"2021年5月31日","28,860.08","29,019.45","29,147.71","28,791.60","537.88M","-0.99%"
"2021年5月28日","29,149.41","28,912.54","29,194.11","28,899.66","805.70M","2.10%"
"2021年5月27日","28,549.01","28,543.32","28,587.21","28,360.56","1.38B","-0.33%"
"2021年5月26日","28,642.19","28,396.62","28,710.83","28,396.62","641.63M","0.31%"
"2021年5月25日","28,553.98","28,516.99","28,576.97","28,443.74","539.91M","0.67%"
"2021年5月24日","28,364.61","28,212.32","28,584.18","28,212.32","546.71M","0.17%"
"2021年5月21日","28,317.83","28,269.61","28,411.56","28,193.03","586.64M","0.78%"
"2021年5月20日","28,098.25","27,875.50","28,176.87","27,821.96","568.20M","0.19%"
"2021年5月19日","28,044.45","28,031.22","28,216.65","27,842.98","686.80M","-1.28%"
"2021年5月18日","28,406.84","27,931.57","28,481.17","27,931.57","746.56M","2.09%"
"2021年5月17日","27,824.83","28,310.46","28,312.78","27,632.53","638.82M","-0.92%"
"2021年5月14日","28,084.47","27,723.70","28,139.96","27,723.70","735.40M","2.32%"
"2021年5月13日","27,448.01","27,929.01","27,961.96","27,385.03","804.89M","-2.49%"
"2021年5月12日","28,147.51","28,712.10","28,831.03","27,888.59","899.92M","-1.61%"
"2021年5月11日","28,608.59","29,238.56","29,289.12","28,535.36","731.70M","-3.08%"
"2021年5月10日","29,518.34","29,376.89","29,685.41","29,346.14","662.98M","0.55%"
"2021年5月7日","29,357.82","29,330.45","29,449.86","29,237.36","675.50M","0.09%"
"2021年5月6日","29,331.37","29,024.01","29,430.22","28,966.47","943.04M","1.80%"
"2021年4月30日","28,812.63","28,996.66","29,046.49","28,760.27","783.83M","-0.83%"
"2021年4月28日","29,053.97","28,935.51","29,139.70","28,875.91","614.23M","0.21%"
"2021年4月27日","28,991.89","29,174.53","29,187.11","28,990.19","594.24M","-0.46%"
"2021年4月26日","29,126.23","29,095.49","29,241.28","28,896.37","492.02M","0.36%"
"2021年4月23日","29,020.63","28,939.12","29,035.34","28,770.62","474.50M","-0.57%"
"2021年4月22日","29,188.17","28,880.78","29,192.39","28,800.86","550.71M","2.38%"
"2021年4月21日","28,508.55","28,660.36","28,778.93","28,419.84","709.98M","-2.03%"
"2021年4月20日","29,100.38","29,355.87","29,361.28","29,014.36","598.82M","-1.97%"
"2021年4月19日","29,685.37","29,688.32","29,808.01","29,530.84","446.99M","0.01%"
"2021年4月16日","29,683.37","29,789.08","29,789.08","29,621.83","490.83M","0.14%"
"2021年4月15日","29,642.69","29,573.90","29,787.66","29,558.55","506.21M","0.07%"
"2021年4月14日","29,620.99","29,718.06","29,722.40","29,567.18","571.69M","-0.44%"
"2021年4月13日","29,751.61","29,605.69","29,897.11","29,573.79","548.88M","0.72%"
"2021年4月12日","29,538.73","29,874.43","29,876.04","29,538.73","501.94M","-0.77%"
"2021年4月9日","29,768.06","29,865.53","30,064.35","29,768.06","648.75M","0.20%"
"2021年4月8日","29,708.98","29,675.88","29,744.79","29,516.42","625.99M","-0.07%"
"2021年4月7日","29,730.79","29,743.48","29,867.94","29,523.55","615.39M","0.12%"
"2021年4月6日","29,696.63","30,208.89","30,208.89","29,665.86","655.22M","-1.30%"
"2021年4月5日","30,089.25","30,084.61","30,195.00","30,024.25","553.63M","0.79%"
"2021年4月2日","29,854.00","29,704.66","29,869.67","29,694.09","571.99M","1.58%"
"2021年4月1日","29,388.87","29,441.91","29,585.46","29,318.82","756.39M","0.72%"
